name,athena_score,sector,geography,stage,description,website,data_tier
"Nerai Bioscience AG",4.6,"AI / ML",Switzerland,"Grant only","Nerai pioneers novel highly personalized CRISPR proteins to deliver lifelong cures for diseases beyond the reach of current genome editing. By fusing AI with programmable biology, its editors redefine what is achievable in the safety, efficiency, and targetability of genetic medicine. With lead programs targeting multi-billion markets in rare liver and eye disease and strong biopharma traction for its platform technology, Nerai is poised to become a key European-based player in vivo genome editing.",http://www.nerai.bio,1
Anyway,4.5,"AI / ML",Switzerland,"Grant only","A software solution that enables secure, on-premise AI deployment by seamlessly turning your existing machines into a high-performance, fault-tolerant AI cluster.",https://anyway.dev/,1
RoBoa,4.4,"AI / ML",Switzerland,"Grant only","utilizes AI to revolutionize confined space entry, from industrial inspections to search and rescue missions. This snake-like, modular robot offers exceptional maneuverability and autonomy, making it ideal for challenging environments. Employing cameras, laser scanners, and IMUs for precise localization and mapping (SLAM), RoBoa gathers crucial situational awareness. Its AI provides real-time data analytics and steering support, enabling the robot to autonomously navigate user-defined paths. In industrial settings, RoBoa inspects pipes for cracks and defects with computer vision, reducing costly downtimes. Targeting sectors like power, chemicals, oil & gas, and pharma, RoBoa is committed to leading in robotic solutions for harsh environments, aiming to minimize industry disruptions and save lives in disasters.",https://www.roboa.ch,1
MoleSense,4.4,"AI / ML",Switzerland,"Grant only","MoleSense advances women’s healthcare with molecular wearables—a new class of medical devices that go beyond tracking vital signs to continuously and non-invasively monitor biochemical markers such as proteins and hormones. By integrating personalized molecular data with biology-aware machine intelligence, our wearables provide proactive healthcare for high-risk pregnancies.",https://www.molesense.ch/,1
"percim AG",4.4,"AI / ML",Switzerland,"Grant only","With the increased availability of fake or altered digital visuals such as fake videos comes the question: How can we trace the origin and establish the owner of a visual asset? Secure digital ownership also opens up an entire new economy for visual data transactions. This ETH spinoff is developing a technology to verify images, video, and 3D data for gaming and AR/VR applications in a robust manner: A counterfeit resistant signature of a visual is computed and stored on a blockchain. This approach is complemented by a novel and patented technology for downscaling images. The team consists of experts from ETH Zurich in computer graphics, vision, artificial intelligence, and blockchain, co-founded and advised by Prof. Markus Gross - a successful serial entrepreneur.",https://percim.com/,1
"Synature SA",4.4,"AI / ML",Switzerland,"Grant only","Synature is an early-stage startup on a mission to decode animal communication and make it actionable across nature, agriculture, and aquaculture. Co-founded by Noah Schmid (CTO) and Olivier Stähli (CEO). We build AI sound systems that make animal communication understandable. Our smart microphones capture rich acoustic data from the field - whether it’s a rainforest, a poultry barn, or a shrimp pond. Then our AI translates that data into real-time insights on species presence, animal health, and behavior. Our platform is fully integrated: autonomous recorders with long battery life, real-time data transmission, unsupervised machine learning models for vocal analysis, and a dashboard that turns sound into science. We're running pilots in Indonesia, Ecuador, France, and Switzerland.",http://www.synature.ch,1
"Vector Bioscience",4.4,"Health / Bio","United Kingdom","Grant only","Vector Bioscience Cambridge specialises in nanoparticle-based drug delivery systems for cancer treatment. Their technology uses machine learning to enhance precision and minimise side effects.",https://vectorbiocam.com/,1
EDWATEC,4.4,"Deep Tech",Switzerland,"Grant only","EDWATEC develops photonic integrated circuits (PICs) using erbium-doped waveguide amplifiers.",https://www.edwatec.com/,1
"Infera Neuro",4.4,"Health / Bio",Switzerland,"Grant only","Developing cutting-edge neural recording and decoding ASICs for implantable Brain-Computer Interfaces (iBCI) applications.",https://infera-neuro.com/,2
"X23D AG",4.3,"AI / ML",Switzerland,"Grant only","focuses on developing the next generation of surgical guidance systems that seamlessly integrate with existing surgical workflows. Its core innovation lies in leveraging AI to create intraoperative 3D models of the patient’s anatomy during surgery, relying on minimal intraoperative (e.g., X-ray) data. This allows surgeons to gain highly accurate, patient-specific 3D views during procedures, improving precision and potentially reducing surgical errors.",https://www.linkedin.com/company/x23d-ag,1
"Lemna Bio SA",4.3,"AI / ML",Switzerland,"Grant only","We are building a native molecular intelligence platform to de-risk and accelerate preclinical drug development in an industry burdened by unsustainable failure rates, costs, and timelines.Our physics-grounded, modular, and data-efficient models can represent any molecular system and have already led to experimentally validated discoveries and accelerations across the preclinical value chain. By improving early-stage decision-making, we help shape better candidates from the start. We have signed LOIs and are negotiating potential contracts with leading biopharma, pursuing a dual-pronged go-to-market strategy: fee-for-service engagements and early-stage-partnerships. Backed by world-class advisors, we are focused on novel molecular formats with transformative therapeutic potential.",https://www.lemna.bio/,1
Baio,4.3,"AI / ML",Switzerland,"Grant only","Traditional early-stage drug discovery depends on screening chemical libraries, a costly and time-consuming process that explores only a tiny fraction of the astronomically large chemical space. Depending on the therapeutic target, these workflows can take several years and cost up to $10M per campaign. We are two PhD students from EPFL, pioneering the field of generative AI for structure-based drug design. We propose to reshape the landscape of early-stage drug discovery by designing novel and target-specific small molecules using our generative AI platform in a matter of seconds. With this technology, we aim to address an unmet market need for fast and cost-efficient design of small molecule drug candidates and target the early-stage drug discovery market currently valued at $3B.",https://baiolabs.com,1
"Cambridge Vision Technology",4.3,"Health / Bio","United Kingdom","Grant only","Cambridge Vision Technology (CVT) is a medical device company specialising in diagnostic tests for early detection of eye and neurodegenerative diseases.",https://cambridgevisiontechnology.com/,1
"Raven Intelligent Systems",4.3,"AI / ML",Switzerland,"Grant only","Industrial environments such as construction sites, power plants, and manufacturing facilities are large, congested, and dynamic, posing severe risks and causing numerous fatal and non-fatal injuries. Safety inspections are essential to prevent accidents, yet conventional methods remain costly, labour-intensive, infrequent, and error prone. Raven Robotics first product InspectNet tackles these challenges with a next-generation automated inspection system of compact, collaborative Micro Aerial Vehicles (MAVs) featuring safe autonomous navigation, self-charging, and AI-powered visual analytics for hazard detection, generating regulation-compliant safety reports tailored to the needs of different worksites.",https://ravenisystems.com/,1
UTHEREAL.ai,4.2,"AI / ML",Switzerland,"Grant only","specializes in creating AI representations that help accelerate decision-making and enhance collaboration. They utilize advanced search, curation, and an LLM trained on data at the individual level. Their platform distills vast amounts of data into curated knowledge, empowering organizations by enabling members to create digital representations accessible to others. This fosters efficient communication and continuity in team knowledge. Additionally, UTHEREAL integrates with various APIs and environments, allowing for seamless workflow automation and enhanced creative processes through their UTHEREAL SDK. Their focus is on high accuracy, security, privacy, and customizable generative AI solutions. Affiliation year: 2024 Affiliation connection: Prof. Joachim Buhmann",https://www.uthereal.ai,1
"Coatmaster AG",4.2,"Deep Tech",Switzerland,"Grant only","coatmaster measures coating thicknesses without touching. It enables a closed-loop control of coating processes, which is the missing link for fully automatization. The CoatMaster works with all types of coating and substrate materials opening a wide range of applications. Most of our customers are automotive suppliers (wheels, airbags, pistons etc.), currently. Furniture, energy and aviation were gaining speed in the last few months.",http://www.winterthurinstruments.ch,1
"Mosaic SoC AG",4.2,"AI / ML",Switzerland,"Grant only","Mosaic SoC is redefining edge AI performance with a breakthrough System-on-Chip (SoC) architecture designed for real-time applications in AR, VR, robotics, and autonomous systems. Unlike conventional chips constrained by shared memory pathways, Mosaic enables multiple accelerators and compute subsystems to simultaneously access memory with high throughput. This unlocks faster, more efficient execution of complex tasks like simultaneous localization and mapping (SLAM), eye, and hand tracking. Positioned in the rapidly growing $6B AR/VR chip marketexpected to surpass $52B by 2037Mosaic is already collaborating with OEMs on next-gen AR solutions. Its scalable technology also targets adjacent markets such as robotics, autonomous vehicles, and space imaging.",http://www.mosaic-soc.com,1
"UNOMR AG",4.2,"Health / Bio",Switzerland,"Grant only","UNOMR, a TechBio startup from ETH Zurich, is pioneering single-molecule protein modification analysis through their innovative serial nanopore sensor, currently focusing on protein glycosylation. Addressing a US$ 60B market, their patented solution has far-reaching applications across healthcare, pharmaceutical development, and food science, offering unprecedented insights into proteins for therapeutic discovery and medical food innovation. Driven by the vision of bringing advanced proteomics directly to the patient, UNOMR aims to catalyze the next breakthrough in precision medicine by making sophisticated protein analysis accessible.",https://unomr.com,1
"OPHTHOROBOTICS AG",4.2,"Health / Bio",Switzerland,"Grant only","Ophthorobotics is developing the first fully automated system capable of performing safe and precise injections into the eye for the efficient treatment of several chronic ophthalmic diseases. By providing an assistive injection system with an integrated local sterile environment and consumables to hospitals, we can increase safety for patients, increase availability of the procedure, decrease procedure times, allow for integrated data storage and documentation, and reduce costs for medical staff and expensive operating rooms",http://ophthorobotics.com/,1
"Braincredible SA",4.2,"Health / Bio",Switzerland,"Grant only","braincredible SA is a neurotechnology start-up based in Sion, Switzerland. The company is a spin-off of ANT Neuro, one of worlds leading manufacturers in Electroencephalography. braincredible aims to remove any barrier to the exploitation of big brain data by allowing its customers to own data, not hardware. Here, we develop new technology and services that allow the massed recording and analysis of EEG data, including real-time machines and Artificial Intelligence.",http://www.braincredible.ch,1
"Neosens Diagnostics Sagl",4.2,"AI / ML",Switzerland,"Grant only","NEOSENS is an AI-based technology that provides rapid and accurate health assessment from a single drop of blood. NEOSENS ensures newborns in LMICs receive the best possible start in life. Our technology brings together two key approaches for detecting neonatal sepsis. Traditional methods rely on observing clinical signs and risk factors, while more modern techniques measure the levels of infection indicators (known as biomarkers) in the blood. NEOSENS merges these two approaches. We provide a point-of-care device which provides a rapid and reliable analysis, based on the detection of sepsis biomarkers in the infant. This is then complemented with our predictive model software which calculated an accurate sepsis score. This dual-analysis method enables doctors to make quick decisions.",https://neosens-dx.com/,1
44ai,4.1,"AI / ML",Switzerland,"Grant only","optimizes documentation in the healthcare sector by developing custom AI solutions. They allow healthcare professionals to focus on patient care by reducing administrative burdens, inefficiencies, operational costs, and critical errors. 44ai structures data—audio, reports, scans—according to international standards for applications like report generation, copilot assistance, and guideline suggestion. Using open-source Foundation Models, 44ai ensures precise, secure data handling with full AI stack control. Designed for seamless integration via the 44ai API, this technology upholds Swiss precision. 44ai aims to revolutionize healthcare by enabling professionals to provide exceptional patient care. Affiliation year: 2024 Affiliation connection: Prof. Luca Benini",https://44ai.ch,1
Sentinus,4.1,"AI / ML",Switzerland,"Grant only","uses deep-learning-based smart cameras for automated quality control in manual assembly in several industrial applications, focusing specifically on action recognition during assembly processes. Their smart cameras are based on neural networks for computer vision and low-cost hardware for cost-efficient scalability. Sentinus automatically detects assembly actions, documents critical assembly steps, provides feedback about the successfully completed steps, and instructions on upcoming ones. Affiliation year: 2024 Affiliation connection: Prof. Mirko Meboldt",https://sentinus.ch,1
